Ramp 10.00 °C/min to 250.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
22.51,374.689,-0.429032
22.5117,374.688,-0.429036
22.5133,374.689,-0.42904
22.515,374.689,-0.429037
22.5167,374.689,-0.429037
22.5183,374.689,-0.429032
22.52,374.689,-0.429031
22.5217,374.689,-0.429037
22.5233,374.689,-0.429045
22.525,374.688,-0.429055
22.5267,374.688,-0.429065
22.5283,374.688,-0.429063
22.53,374.688,-0.429048
22.5317,374.687,-0.429032
22.5333,374.687,-0.429017
22.535,374.686,-0.428994
22.5367,374.686,-0.42897
22.5383,374.685,-0.42894
22.54,374.684,-0.428906
22.5417,374.684,-0.428843
22.5433,374.682,-0.428769
22.545,374.681,-0.428729
22.5467,374.68,-0.428687
22.5483,374.679,-0.428643
22.55,374.677,-0.428598
22.5517,374.676,-0.428548
22.5533,374.674,-0.428458
22.555,374.672,-0.428329
22.5567,374.67,-0.428259
22.5583,374.668,-0.428173
22.56,374.666,-0.428056
22.5617,374.664,-0.427932
22.5633,374.661,-0.427832
22.565,374.658,-0.427784
22.5667,374.655,-0.427756
22.5683,374.652,-0.427742
22.57,374.649,-0.427742
22.5717,374.646,-0.427751
22.5733,374.642,-0.427771
22.575,374.638,-0.42788
22.5767,374.635,-0.428051
22.5783,374.631,-0.428448
22.58,374.626,-0.429052
22.5817,374.622,-0.429845
22.5833,374.617,-0.430795
22.585,374.612,-0.431846
22.5867,374.607,-0.433036
22.5883,374.601,-0.434528
22.59,374.596,-0.436492
22.5917,374.59,-0.438384
22.5933,374.584,-0.440185
22.595,374.578,-0.441837
22.5967,374.572,-0.443378
22.5983,374.565,-0.44519
22.6,374.558,-0.447267
22.6017,374.551,-0.448853
22.6033,374.544,-0.449826
22.605,374.537,-0.450178
22.6067,374.529,-0.450313
22.6083,374.521,-0.450373
22.61,374.513,-0.450362
22.6117,374.505,-0.450278
22.6133,374.497,-0.450182
22.615,374.489,-0.45013
22.6167,374.48,-0.450064
22.6183,374.471,-0.449961
22.62,374.463,-0.449653
22.6217,374.454,-0.448788
22.6233,374.444,-0.446859
22.625,374.434,-0.44376
22.6267,374.425,-0.43942
22.6283,374.415,-0.433803
22.63,374.405,-0.426829
22.6317,374.395,-0.418639
22.6333,374.385,-0.408877
22.635,374.374,-0.399
22.6367,374.364,-0.388858
22.6383,374.353,-0.379474
22.64,374.343,-0.37066
22.6417,374.332,-0.364077
22.6433,374.321,-0.357765
22.645,374.31,-0.350955
22.6467,374.298,-0.345168
22.6483,374.287,-0.338208
22.65,374.275,-0.331906
22.6517,374.263,-0.325053
22.6533,374.252,-0.317738
22.655,374.24,-0.311396
22.6567,374.228,-0.304827
22.6583,374.215,-0.298162
22.66,374.204,-0.291412
22.6617,374.191,-0.283603
22.6633,374.179,-0.277708
22.665,374.167,-0.271747
22.6667,374.154,-0.26464
22.6683,374.142,-0.257536
22.67,374.129,-0.251663
22.6717,374.116,-0.245605
22.6733,374.104,-0.23764
22.675,374.09,-0.232394
22.6767,374.078,-0.225745
22.6783,374.065,-0.219567
22.68,374.051,-0.213024
22.6817,374.038,-0.20702
22.6833,374.025,-0.200743
22.685,374.011,-0.194584
22.6867,373.997,-0.188508
22.6883,373.984,-0.18179
22.69,373.971,-0.17571
22.6917,373.957,-0.170373
22.6933,373.943,-0.164735
22.695,373.93,-0.159196
22.6967,373.916,-0.153207
22.6983,373.902,-0.14757
22.7,373.888,-0.14109
22.7017,373.874,-0.136219
22.7033,373.86,-0.130761
22.705,373.846,-0.125288
22.7067,373.831,-0.120897
22.7083,373.818,-0.114972
22.71,373.803,-0.110674
22.7117,373.789,-0.105934
22.7133,373.774,-0.10199
