Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
5.00333,249.851,-0.208477
5.005,249.851,-0.208478
5.00667,249.851,-0.208482
5.00833,249.851,-0.20848
5.01,249.851,-0.208469
5.01167,249.851,-0.208455
5.01333,249.851,-0.208445
5.015,249.851,-0.208445
5.01667,249.851,-0.208452
5.01833,249.851,-0.208465
5.02,249.851,-0.20848
5.02167,249.851,-0.208499
5.02333,249.852,-0.208521
5.025,249.852,-0.20855
5.02667,249.852,-0.208588
5.02833,249.853,-0.208624
5.03,249.854,-0.208665
5.03167,249.854,-0.208737
5.03333,249.855,-0.208788
5.035,249.856,-0.208832
5.03667,249.857,-0.20888
5.03833,249.858,-0.208925
5.04,249.859,-0.208966
5.04167,249.86,-0.209003
5.04333,249.862,-0.209027
5.045,249.863,-0.209046
5.04667,249.865,-0.209046
5.04833,249.866,-0.209033
5.05,249.868,-0.208988
5.05167,249.869,-0.208811
5.05333,249.872,-0.208467
5.055,249.874,-0.207795
5.05667,249.876,-0.206355
5.05833,249.878,-0.203905
5.06,249.881,-0.200002
5.06167,249.883,-0.194845
5.06333,249.886,-0.188683
5.065,249.889,-0.182011
5.06667,249.892,-0.175359
5.06833,249.896,-0.169302
5.07,249.899,-0.163589
5.07167,249.903,-0.158018
5.07333,249.907,-0.153641
5.075,249.911,-0.149345
5.07667,249.916,-0.145071
5.07833,249.92,-0.141361
5.08,249.925,-0.137644
5.08167,249.93,-0.133617
5.08333,249.935,-0.129753
5.085,249.94,-0.127028
5.08667,249.945,-0.125419
5.08833,249.951,-0.123956
5.09,249.957,-0.12151
5.09167,249.963,-0.120996
5.09333,249.969,-0.120755
5.095,249.976,-0.120349
5.09667,249.982,-0.120299
5.09833,249.989,-0.120824
5.1,249.996,-0.121554
5.10167,250.004,-0.122359
5.10333,250.011,-0.123207
5.105,250.019,-0.124238
5.10667,250.026,-0.128455
5.10833,250.035,-0.131068
5.11,250.043,-0.132839
5.11167,250.051,-0.133784
5.11333,250.06,-0.134462
5.115,250.068,-0.135734
5.11667,250.077,-0.137835
5.11833,250.086,-0.140801
5.12,250.096,-0.145533
5.12167,250.105,-0.153256
5.12333,250.114,-0.165442
5.125,250.124,-0.180348
5.12667,250.134,-0.19658
5.12833,250.144,-0.211517
5.13,250.154,-0.220589
5.13167,250.164,-0.228112
5.13333,250.174,-0.236898
5.135,250.185,-0.244719
5.13667,250.195,-0.251003
5.13833,250.206,-0.259214
5.14,250.217,-0.267569
5.14167,250.228,-0.276848
5.14333,250.239,-0.285231
5.145,250.25,-0.293563
5.14667,250.262,-0.303764
5.14833,250.273,-0.313352
5.15,250.285,-0.323353
5.15167,250.296,-0.332872
5.15333,250.308,-0.340799
5.155,250.32,-0.349938
5.15667,250.332,-0.358707
5.15833,250.344,-0.367281
5.16,250.356,-0.374859
5.16167,250.369,-0.382903
5.16333,250.381,-0.391163
5.165,250.393,-0.399586
5.16667,250.406,-0.405849
5.16833,250.418,-0.41341
5.17,250.431,-0.420933
5.17167,250.444,-0.428577
5.17333,250.457,-0.43507
5.175,250.47,-0.440945
5.17667,250.483,-0.448224
5.17833,250.496,-0.454993
5.18,250.509,-0.461141
5.18167,250.522,-0.46785
5.18333,250.535,-0.475694
5.185,250.549,-0.48124
5.18667,250.562,-0.487607
5.18833,250.575,-0.494669
5.19,250.589,-0.5002
5.19167,250.603,-0.506327
5.19333,250.616,-0.511895
5.195,250.63,-0.517141
5.19667,250.644,-0.521203
5.19833,250.658,-0.52656
5.2,250.672,-0.531865
5.20167,250.686,-0.536857
5.20333,250.699,-0.541522
5.205,250.713,-0.546218
5.20667,250.728,-0.550811
5.20833,250.742,-0.555842
5.21,250.756,-0.56219
5.21167,250.77,-0.567052
5.21333,250.784,-0.571938
5.215,250.799,-0.57591
5.21667,250.813,-0.580419
5.21833,250.828,-0.58538
5.22,250.842,-0.590013
5.22167,250.857,-0.593631
5.22333,250.871,-0.597471
5.225,250.886,-0.601544
5.22667,250.9,-0.606604
5.22833,250.915,-0.610863
5.23,250.93,-0.615927
5.23167,250.945,-0.620559
5.23333,250.959,-0.625746
5.235,250.974,-0.629924
5.23667,250.989,-0.635516
5.23833,251.004,-0.640223
5.24,251.018,-0.642594
5.24167,251.033,-0.645346
5.24333,251.049,-0.649404
5.245,251.063,-0.651751
5.24667,251.078,-0.654831
5.24833,251.093,-0.65603
5.25,251.108,-0.657453
5.25167,251.123,-0.659351
5.25333,251.139,-0.661521
5.255,251.154,-0.663773
5.25667,251.169,-0.665145
5.25833,251.184,-0.667802
5.26,251.2,-0.670019
5.26167,251.215,-0.672411
5.26333,251.23,-0.674134
5.265,251.246,-0.675539
5.26667,251.261,-0.677411
5.26833,251.276,-0.680181
5.27,251.292,-0.681907
5.27167,251.307,-0.684102
5.27333,251.322,-0.687361
5.275,251.338,-0.690024
5.27667,251.353,-0.693425
5.27833,251.369,-0.696039
5.28,251.384,-0.698279
5.28167,251.4,-0.700641
5.28333,251.415,-0.7023
5.285,251.431,-0.702686
5.28667,251.446,-0.702998
5.28833,251.462,-0.703967
5.29,251.478,-0.705852
5.29167,251.493,-0.70678
5.29333,251.509,-0.707844
5.295,251.525,-0.709945
5.29667,251.54,-0.713131
5.29833,251.556,-0.715415
5.3,251.571,-0.717669
5.30167,251.587,-0.721035
5.30333,251.603,-0.722296
5.305,251.619,-0.725227
5.30667,251.635,-0.726511
5.30833,251.651,-0.728102
5.31,251.666,-0.7295
5.31167,251.682,-0.730906
5.31333,251.698,-0.731468
5.315,251.714,-0.73261
5.31667,251.73,-0.733642
5.31833,251.745,-0.734735
5.32,251.761,-0.73607
5.32167,251.777,-0.736357
5.32333,251.793,-0.73683
5.325,251.809,-0.737485
5.32667,251.825,-0.737969
5.32833,251.84,-0.738339
5.33,251.857,-0.739341
5.33167,251.873,-0.740015
5.33333,251.889,-0.74142
5.335,251.905,-0.742463
5.33667,251.92,-0.74364
5.33833,251.937,-0.74543
5.34,251.952,-0.747144
5.34167,251.969,-0.7487
5.34333,251.985,-0.750185
5.345,252.001,-0.751577
5.34667,252.017,-0.752831
5.34833,252.032,-0.753897
5.35,252.049,-0.754595
5.35167,252.064,-0.755492
5.35333,252.081,-0.755893
5.355,252.096,-0.756246
5.35667,252.112,-0.756453
5.35833,252.129,-0.756769
5.36,252.145,-0.757253
5.36167,252.161,-0.757708
5.36333,252.177,-0.758248
5.365,252.193,-0.759196
5.36667,252.209,-0.75998
5.36833,252.225,-0.760861
5.37,252.242,-0.761626
5.37167,252.258,-0.762227
5.37333,252.274,-0.762805
5.375,252.289,-0.763224
5.37667,252.306,-0.763584
5.37833,252.322,-0.764027
5.38,252.338,-0.764659
5.38167,252.354,-0.765235
5.38333,252.371,-0.766234
5.385,252.387,-0.767418
5.38667,252.404,-0.76875
5.38833,252.419,-0.770121
5.39,252.435,-0.771457
