Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
5.00333,249.858,-0.227431
5.005,249.858,-0.227442
5.00667,249.858,-0.227451
5.00833,249.858,-0.227456
5.01,249.859,-0.227452
5.01167,249.859,-0.227451
5.01333,249.859,-0.227451
5.015,249.859,-0.227455
5.01667,249.859,-0.227451
5.01833,249.859,-0.227452
5.02,249.859,-0.227456
5.02167,249.859,-0.227468
5.02333,249.859,-0.227486
5.025,249.86,-0.227515
5.02667,249.861,-0.227552
5.02833,249.861,-0.227585
5.03,249.862,-0.22762
5.03167,249.862,-0.227657
5.03333,249.863,-0.227699
5.035,249.864,-0.227743
5.03667,249.864,-0.2278
5.03833,249.865,-0.22787
5.04,249.866,-0.227944
5.04167,249.867,-0.227993
5.04333,249.869,-0.228035
5.045,249.87,-0.228075
5.04667,249.871,-0.228103
5.04833,249.873,-0.228129
5.05,249.875,-0.228155
5.05167,249.877,-0.228174
5.05333,249.879,-0.228184
5.055,249.881,-0.228189
5.05667,249.883,-0.228183
5.05833,249.885,-0.228168
5.06,249.888,-0.228127
5.06167,249.891,-0.22797
5.06333,249.893,-0.227666
5.065,249.896,-0.227068
5.06667,249.9,-0.226327
5.06833,249.903,-0.225548
5.07,249.906,-0.224461
5.07167,249.91,-0.223339
5.07333,249.914,-0.222086
5.075,249.918,-0.220926
5.07667,249.922,-0.219859
5.07833,249.927,-0.218754
5.08,249.931,-0.217659
5.08167,249.936,-0.216797
5.08333,249.941,-0.216142
5.085,249.946,-0.215751
5.08667,249.952,-0.21547
5.08833,249.957,-0.215259
5.09,249.963,-0.215158
5.09167,249.969,-0.215127
5.09333,249.975,-0.215127
5.095,249.981,-0.215144
5.09667,249.988,-0.215173
5.09833,249.995,-0.215217
5.1,250.001,-0.215404
5.10167,250.009,-0.215932
5.10333,250.016,-0.217278
5.105,250.024,-0.220129
5.10667,250.031,-0.225073
5.10833,250.04,-0.231822
5.11,250.047,-0.240637
