Ramp 10.00 °C/min to 250.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
57.8867,374.729,-0.433566
57.8883,374.728,-0.433568
57.89,374.729,-0.433573
57.8917,374.728,-0.43358
57.8933,374.728,-0.433592
57.895,374.728,-0.433598
57.8967,374.728,-0.433608
57.8983,374.728,-0.433615
57.9,374.728,-0.433629
57.9017,374.728,-0.433637
57.9033,374.728,-0.43364
57.905,374.728,-0.433641
57.9067,374.727,-0.433643
57.9083,374.727,-0.433642
57.91,374.726,-0.43364
57.9117,374.726,-0.433632
57.9133,374.726,-0.433625
57.915,374.725,-0.433605
57.9167,374.724,-0.43358
57.9183,374.723,-0.433543
57.92,374.721,-0.433504
57.9217,374.721,-0.433468
57.9233,374.719,-0.433414
57.925,374.718,-0.43332
57.9267,374.716,-0.433173
57.9283,374.715,-0.43301
57.93,374.713,-0.43281
57.9317,374.711,-0.432626
57.9333,374.71,-0.4324
57.935,374.707,-0.432097
57.9367,374.705,-0.431731
57.9383,374.703,-0.431432
57.94,374.7,-0.431107
57.9417,374.697,-0.430765
57.9433,374.695,-0.43038
57.945,374.692,-0.430166
57.9467,374.689,-0.430064
57.9483,374.685,-0.430008
57.95,374.681,-0.429951
57.9517,374.678,-0.429896
57.9533,374.674,-0.429842
57.955,374.67,-0.429783
57.9567,374.665,-0.429726
57.9583,374.661,-0.42967
57.96,374.656,-0.429615
57.9617,374.651,-0.429557
57.9633,374.646,-0.429502
57.965,374.641,-0.429453
57.9667,374.635,-0.429407
57.9683,374.63,-0.429355
57.97,374.624,-0.429299
57.9717,374.618,-0.429233
57.9733,374.612,-0.429132
57.975,374.605,-0.428888
57.9767,374.598,-0.428385
57.9783,374.592,-0.427717
57.98,374.585,-0.426794
57.9817,374.577,-0.425504
57.9833,374.57,-0.423869
57.985,374.562,-0.421539
57.9867,374.555,-0.418948
57.9883,374.546,-0.415097
57.99,374.538,-0.410661
57.9917,374.53,-0.405356
57.9933,374.521,-0.39968
57.995,374.512,-0.391952
57.9967,374.503,-0.38341
57.9983,374.494,-0.374401
58,374.485,-0.364153
58.0017,374.475,-0.356262
58.0033,374.466,-0.348603
58.005,374.456,-0.341061
58.0067,374.446,-0.334552
58.0083,374.436,-0.328035
58.01,374.426,-0.321249
58.0117,374.416,-0.315539
58.0133,374.405,-0.308153
58.015,374.395,-0.302256
58.0167,374.384,-0.294367
58.0183,374.373,-0.286213
58.02,374.362,-0.27952
58.0217,374.351,-0.272422
58.0233,374.34,-0.263246
58.025,374.328,-0.255448
58.0267,374.317,-0.248143
58.0283,374.305,-0.239949
58.03,374.294,-0.233143
